Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Costa Rica,CRI,16386168,29789081,44482140,55175261,53239718,57175047,103437861,202573233,212000518,163150456,196831741,142904173,249778698,344714190,412066217,525326850,550496783,519159165,676709064,745844325,524889932,930999963,1031845200,1037650467,906223479,1046640904,1000225469,1261819843,1063394175,1460402995,1317755407,1329816634,1501655633,1839150664,1921805307,2312646308,3114579622,4113616256,3798664724,4066174685,4627225790,4755805165
Cote d'Ivoire,CIV,118840000,89433413,87177452,88373421,65667321,102759930,76402740,188503123,455537122,169815008,45936952,35535686,22527500,36698102,19086371,19283862,36950901,30444394,28673925,32830834,21120875,29091301,21769480,19643561,221347622,529015472,605773777,618369425,855478345,630373882,673901638,1020103541,1836106997,1303858672,1680025929,1366568880,1797693087,2518959978,2252699333,3266820888,3624373055,4315950262
Djibouti,DJI,,,,,,,,,,,,,,,44933882,50941036,53615749,63525623,64361021,59152640,93639298,99996798,83401894,75101450,73758753,72155534,76970780,66567644,66454893,70605909,67804575,70308697,73707745,100129582,93939061,89264775,120326696,132137440,175495411,241831907,248997840,244112138
Dominica,DMA,,,,,,345258,1172593,2230370,1925185,9835556,5078148,3056994,4329401,1478780,5249802,3270984,9593016,18427249,14063592,11683673,14462985,17768609,20410000,19915109,15414832,22123442,22894380,23892440,27665293,31574051,29372787,31224518,45497424,47735246,42321835,49172197,63047100,60522069,55150083,75464029,76099711,81120952
Dominican Republic,DOM,32333820,56552180,60894513,93988752,103166564,124705910,135082717,197259145,177553169,296467123,279024500,281642255,170562548,200663729,259051286,345987543,383336200,190927987,261424871,171218000,68530000,448222017,505794750,658256150,259100081,365556194,350251267,391034294,501855656,693972747,627192943,1099475739,468412793,253145918,798262943,1933255852,2263790138,3029510426,2682007922,3562809210,3857385729,4088985896
Ecuador,ECU,75607787,60390284,144133498,253707215,390629828,307492513,529391100,689065017,727782642,934098773,1257167688,797069065,493476336,802512310,738907098,853631314,806083750,691666393,567569796,706538998,1009075836,1080977249,1015827244,1541717600,2002942838,1627628617,1858453314,2092790463,1619731502,1642369214,946926299,839767948,714626666,812578782,1069609489,1714231808,1489487122,2816381658,3738153069,2873184714,1434845698,1664304566
"Egypt, Arab Rep.",EGY,165038580,163240128,209341350,532593930,705412659,535004037,567297149,831886292,1050567850,1795125065,2479664000,1682922751,1809313173,1698907487,1485991444,1587362858,1779681032,2555643305,2261158624,2495363416,3619931744,6185285500,11620220250,13854276598,14412967954,16181223305,17398343689,18664757516,18123915769,14484069209,13117578808,12925786046,13242410461,13588731782,14273202212,20609055864,24461557387,30187705757,32216142828,32252965329,33611731752,14915683532
El Salvador,SLV,63874517,67645897,95388975,95802278,168141736,175110731,250830250,293868920,381320500,402733261,381705150,276930425,344119834,339013745,310473964,333072337,353110280,413282280,354102757,454062342,595456227,453109120,578474650,719512205,829222307,758339953,936928430,1307910975,1613079386,1819802136,1772563189,1593719390,1472817603,1792334161,1754026418,1722808564,1814854840,2109971010,2443096744,2868818500,2569644412,2152900096
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,40490517,81319533,199395771,23057791,34242932,25516158,39755115,30282532,24707772,34746847,27944199,25354625,34284788,57898130,90010611,114149586,114795759
Ethiopia,ETH,71745620,69633995,99364642,194875557,314837567,315252651,331791549,260491671,217562056,319158932,262284681,370055184,277333083,205607267,108775330,216340716,332198100,223865105,149969164,123044566,55191079,106436547,270054750,499938575,587541828,771509805,732155700,501074423,511080732,458508847,306319447,433230569,881748933,955608347,1496784383,1042595244,867438380,1289865510,870502513,1780874201,,
Fiji,FJI,27350000,39617133,69415413,73949368,109147360,148591623,116321181,148054209,136595816,142167953,174050501,139492175,131991953,120053537,120842695,134466207,175389997,132556868,233692015,211914666,261102776,271708369,317136600,269769181,273445536,349032436,427238049,360286903,385673180,428687445,411794403,366162508,358660767,423272902,482727577,320891373,312791689,527605612,321485415,569135034,719398637,832228946
Gabon,GAB,14739646,25387133,23227352,47857453,103292594,146069085,116155029,10960834,24720628,26585965,114931021,203862553,317641901,191704611,203334405,196666672,131275235,18098124,72604268,39478563,278707083,332016181,75487379,5765215,180108558,148086142,248715633,282601547,15407992,17946774,190090628,9850280,139652056,196571307,443423507,668564477,1113431993,1227241650,1923491683,1993241320,1735882498,2157317436
